Component,Reference ID,Countermeasure,Description,Source,State,Test result,Priority,Expiry date,Cost,Owner,Issue ID,MITRE reference,Scope,Standard baseline,Standard baseline section
Backend,C-WEB-APPLICATION-SERVER-SIDE-CNT-06,"Disable unused services, remove default accounts, and apply security updates","To minimize the attack surface and enhance security, disable any unused 
services, remove default accounts, and apply security updates promptly. By 
doing so, you reduce the risk of exploitation through unneeded services or 
default credentials and ensure that the system is protected from known 
vulnerabilities. Additionally, use secure configurations to prevent 
unauthorized access and ensure that the system is optimally protected.

Implementation Steps:

   1. Disable Unused Services: Identify and disable any services that are
      not needed for the application or system to function. This limits the
      number of potential attack vectors.
   2. Remove Default Accounts: Remove or disable default accounts and
      ensure that all active accounts are assigned strong, unique
      credentials. Avoid using default settings that might be easily
      guessed by attackers.
   3. Apply Security Updates: Regularly check for and apply security
      patches to all systems and applications. Set up an automated patch
      management process to ensure that critical updates are applied as
      soon as they are released.
   4. Use Secure Configurations: Ensure that all configurations, such as
      database, server, and application settings, follow security best
      practices, including strong encryption, least privilege access, and
      secure communication protocols.

References:

    * OWASP Secure Configuration Guide
      <https://owasp.org/www-project-secure-coding-practices-quick-reference-guide/>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1048 - Application Isolation and Sandboxing,Network Security,NIST 800-53 v5,CM-3 Configuration Change Control
Fronend,C-WEB-APPLICATION-SERVER-SIDE-CNT-06,"Disable unused services, remove default accounts, and apply security updates","To minimize the attack surface and enhance security, disable any unused 
services, remove default accounts, and apply security updates promptly. By 
doing so, you reduce the risk of exploitation through unneeded services or 
default credentials and ensure that the system is protected from known 
vulnerabilities. Additionally, use secure configurations to prevent 
unauthorized access and ensure that the system is optimally protected.

Implementation Steps:

   1. Disable Unused Services: Identify and disable any services that are
      not needed for the application or system to function. This limits the
      number of potential attack vectors.
   2. Remove Default Accounts: Remove or disable default accounts and
      ensure that all active accounts are assigned strong, unique
      credentials. Avoid using default settings that might be easily
      guessed by attackers.
   3. Apply Security Updates: Regularly check for and apply security
      patches to all systems and applications. Set up an automated patch
      management process to ensure that critical updates are applied as
      soon as they are released.
   4. Use Secure Configurations: Ensure that all configurations, such as
      database, server, and application settings, follow security best
      practices, including strong encryption, least privilege access, and
      secure communication protocols.

References:

    * OWASP Secure Configuration Guide
      <https://owasp.org/www-project-secure-coding-practices-quick-reference-guide/>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1048 - Application Isolation and Sandboxing,Network Security,NIST 800-53 v5,CM-3 Configuration Change Control
AWS S3 (Simple Storage Service),C-AWS-S3-CNT-14,Discover sensitive data by using Amazon Macie,"Amazon Macie is a security service that discovers sensitive data by using 
machine learning and pattern matching. Macie provides visibility into data 
security risks, and enables automated protection against those risks. With 
Macie, you can automate the discovery and reporting of sensitive data in 
your Amazon S3 data estate to gain a better understanding of the data that 
your organization stores in S3.

To detect sensitive data with Macie, you can use built-in criteria and 
techniques that are designed to detect a large and growing list of 
sensitive data types for many countries and regions. These sensitive data 
types include multiple types of personally identifiable information (PII), 
financial data, and credentials data. You can also use custom criteria that 
you define—regular expressions that define text patterns to match and, 
optionally, character sequences and proximity rules that refine the 
results.

If Macie detects sensitive data in an S3 object, Macie generates a security 
finding to notify you. This finding provides information about the affected 
object, the types and number of occurrences of the sensitive data that 
Macie found, and additional details to help you investigate the affected S3 
bucket and object. For more information, see the Amazon Macie User Guide
<https://docs.aws.amazon.com/macie/latest/user/what-is-macie.html> .",Created by Rules Engine,Recommended,Not tested,High,N/A,High,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1029 - Remote Data Storage,Cloud Security,NIST 800-53 v5,PM-24 Data Integrity Board
API Gateway,C-API-GATEWAY-CNT-04,Distributed gateway deployments should have a token translation (exchange) service between gateways,"To facilitate secure token exchange across distributed API gateways and 
prevent unauthorized access, the following steps should be taken:

   1. Implement OAuth 2.0 and OpenID Connect:
          o Set up OAuth 2.0 to handle secure token issuance and
            validation. This protocol will manage access according to user
            authentication and application privileges.
          o Incorporate OpenID Connect to provide an identity layer on top
            of OAuth 2.0 for user verification.
   2. Use JSON Web Tokens (JWT):
          o Configure the gateways to use JWTs as a compact, URL-safe means
            of representing claims to be transferred between two parties.
            This will enhance interoperability and speed of the token
            exchange.
          o Ensure all JWTs are signed and optionally encrypted. Use
            strong, up-to-date symmetric (HS256) or asymmetric (RS256)
            algorithms to secure token data.
   3. Secure Communication Channel:
          o Mandate TLS (Transport Layer Security) for all gateway
            communications. This will encrypt the data in transit, ensuring
            tokens cannot be intercepted by unauthorized parties.
   4. Token Expiration and Refresh:
          o Ensure that issued tokens have an expiration time to minimize
            the impact of a token being compromised.
          o Implement token refresh mechanisms to allow seamless renewal of
            tokens. Consider using refresh tokens with short expiration
            times for higher security.
   5. Distributed Trust and Key Management:
          o Establish a distributed trust model by designating key
            management infrastructure for token signing and validation
            across the gateways.
          o Implement automated key rotation policies and ensure that all
            nodes in the distributed gateway system are updated promptly to
            recognize new keys.
   6. Audit and Monitoring:
          o Integrate logging and auditing mechanisms to track token usage
            across the distributed gateways.
          o Use these logs to identify any unusual or unauthorized access
            patterns, which will help in timely detection and mitigation of
            security incidents.

Following these steps can help maintain the integrity, confidentiality, and 
availability of the API gateway system.

References

    * OAuth 2.0 Framework <https://oauth.net/2/>
    * OpenID Connect Introduction <https://openid.net/connect/>
    * Introduction to JSON Web Tokens <https://jwt.io/introduction>
    * RFC 5246: The Transport Layer Security (TLS) Protocol
      <https://tools.ietf.org/html/rfc5246>
    * RFC 7523: JSON Web Token (JWT) Profile for OAuth 2.0 Client
      Authentication and Authorization Grants
      <https://datatracker.ietf.org/doc/html/rfc7523>
    * Keycloak Server Administration Guide
      <https://www.keycloak.org/docs/latest/server_admin/>",Created by Rules Engine,Recommended,Not tested,High,N/A,High,Hugo Ponthieu,,ATT&CK Enterprise - M1026 - Privileged Account Management,Network Security,NIST 800-53 v5,SC-17 Public Key Infrastructure Certificates
"*.beep,ovh",C-DNS-TRAFFIC-ENCRYPTION,DNS Traffic Encryption,"Encrypting DNS traffic is essential to protect the integrity and 
confidentiality of DNS queries and responses from eavesdropping and 
man-in-the-middle attacks. By securing DNS transactions, organizations can 
prevent attackers from intercepting or manipulating DNS data, which is 
crucial for maintaining network security and user privacy.

Steps to Implement DNS Traffic Encryption

Assess Current DNS Configuration:

    * Review your existing DNS setup to identify which servers handle DNS
      queries and how they are configured.
    * Determine the types of data transmitted and identify potential risk
      points where data could be intercepted.

Choose Appropriate DNS Encryption Technologies:

    * Implement DNS over HTTPS (DoH): Encrypts DNS queries within the HTTPS
      protocol, providing confidentiality, integrity, and increased privacy
      by blending DNS traffic with regular web traffic.
    * Implement DNS over TLS (DoT): Secures DNS queries and responses using
      the TLS (Transport Layer Security) protocol, ensuring that DNS
      transactions are encrypted between the client and the DNS resolver.

Configure DNS Resolvers and Servers:

    * Update DNS resolvers to support DoH or DoT. Ensure that they are
      configured to communicate with upstream servers that also support
      these encryption protocols.
    * If operating your own DNS servers, enable and configure DoH or DoT.
      This may involve installing updates or additional software modules
      that support these protocols.

Update Client Configuration:

    * Configure client devices and applications to use encrypted DNS
      services. This can involve changing network settings to point to DNS
      servers that support DoH or DoT.
    * Provide guidance to users on how to update their devices, or use
      network-wide settings to enforce DNS encryption.

Monitor and Validate Encryption:

    * After deployment, monitor DNS traffic to ensure that encryption is
      being applied correctly and consistently.
    * Use network monitoring tools to check that no plain DNS traffic is
      leaking outside the encrypted channels.

Create a Rollout and Incident Response Plan:

    * Develop a phased rollout plan to gradually implement DNS encryption
      across your network, starting with critical areas and expanding
      coverage as stability is confirmed.
    * Prepare an incident response plan specifically for issues related to
      DNS encryption, such as misconfigurations or performance impacts.

Educate and Train IT Staff:

    * Train IT staff on the importance of DNS encryption and the specific
      technologies used (DoH, DoT).
    * Provide technical resources and training to help troubleshoot and
      manage encrypted DNS traffic.

Regularly Update and Patch:

    * Keep DNS software, including servers and clients, regularly updated
      to protect against vulnerabilities that could undermine the
      encryption.
    * Stay informed about new developments in DNS encryption standards and
      practices.

Good Security Practices Reference

    * Adhere to best practices from authoritative bodies such as the
      Internet Engineering Task Force (IETF) that develops standards like
      DoH and DoT.
    * Consider guidelines from cybersecurity organizations, such as the
      National Institute of Standards and Technology (NIST), for
      implementing secure DNS practices.

By implementing these steps, developers and IT administrators can 
effectively encrypt DNS traffic, enhancing security and privacy for all 
network communications. This helps prevent attackers from gaining access to 
critical information or manipulating DNS responses to direct users to 
malicious sites.",Created by Rules Engine,Recommended,Not tested,High,N/A,Medium,Hugo Ponthieu,,ATT&CK Enterprise - M1041 - Encrypt Sensitive Information,Data Security||Network Security,NIST 800-53 v5,SC-13 Cryptographic Protection||SC-8 TRANSMISSION CONFIDENTIALITY AND INTEGRITY||SI-4 System Monitoring
AWS S3 (Simple Storage Service),C-AWS-S3-CNT-11,Enable Amazon S3 server access logging,"Server access logging provides detailed records of the requests that are 
made to a bucket. Server access logs can assist you in security and access 
audits, help you learn about your customer base, and understand your Amazon 
S3 bill. For instructions on enabling server access logging, see Logging 
requests with server access logging
<https://docs.aws.amazon.com/AmazonS3/latest/userguide/ServerLogs.html> .

Also consider implementing ongoing detective controls by using the 
s3-bucket-logging-enabled
<https://docs.aws.amazon.com/config/latest/developerguide/s3-bucket-logging-enabled.html> 
AWS Config managed rule.",Created by Rules Engine,Recommended,Not tested,High,N/A,Low,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1047 - Audit,Data Security,NIST 800-53 v5,AU-12 Audit Record Generation
AWS S3 (Simple Storage Service),C-AWS-S3-CNT-13,Enable AWS Config,"Several of the best practices listed in this topic suggest creating AWS 
Config rules. AWS Config helps you to assess, audit, and evaluate the 
configurations of your AWS resources. AWS Config monitors resource 
configurations so that you can evaluate the recorded configurations against 
the desired secure configurations. With AWS Config, you can do the 
following:

    * Review changes in configurations and relationships between AWS
      resources
    * Investigate detailed resource-configuration histories
    * Determine your overall compliance against the configurations
      specified in your internal guidelines

Using AWS Config can help you simplify compliance auditing, security 
analysis, change management, and operational troubleshooting. For more 
information, see Setting Up AWS Config with the Console
<https://docs.aws.amazon.com/config/latest/developerguide/gs-console.html> 
in the AWS Config Developer Guide. When specifying the resource types to 
record, ensure that you include Amazon S3 resources.

     Important

     AWS Config managed rules only supports general purpose buckets when
     evaluating Amazon S3 resources. AWS Config doesn’t record
     configuration changes for directory buckets. For more information, see 
     AWS Config Managed Rules
     <https://docs.aws.amazon.com/config/latest/developerguide/evaluate-config_use-managed-rules.html> 
     and List of AWS Config Managed Rules
     <https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html> 
     in the AWS Config Developer Guide.

For an example of how to use AWS Config, see How to Use AWS Config to 
Monitor for and Respond to Amazon S3 Buckets Allowing Public Access
<https://aws.amazon.com/blogs/security/how-to-use-aws-config-to-monitor-for-and-respond-to-amazon-s3-buckets-allowing-public-access/> 
on the AWS Security Blog.",Created by Rules Engine,Recommended,Not tested,High,N/A,Low,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1054 - Software Configuration,Cloud Security,NIST 800-53 v5,CM-8 System Component Inventory
Virtual Machine,C-VIRTUAL-MACHINE-CNT-03,Enable disk encryption for VMs and their storage,"To protect sensitive data stored on virtual machines, enable disk 
encryption for both the virtual machine (VM) disks and any attached 
storage. Disk encryption ensures that the data remains confidential and 
protected, even if the physical storage is compromised. This control should 
be applied to all VMs and storage volumes, both in on-premises environments 
and cloud-based infrastructures. Implement full-disk encryption using 
trusted encryption algorithms to prevent unauthorized access to data.

Steps to Implement:

   1. Enable disk encryption during the creation of VMs in cloud
      environments like AWS (EBS Encryption), Azure (Azure Disk
      Encryption), or VMware vSphere (VM Encryption).
   2. Ensure that encryption is applied to both primary VM disks and
      additional attached storage volumes.
   3. Use encryption tools provided by the cloud provider, such as
      Microsoft Azure's Azure Disk Encryption or AWS’s EBS volume
      encryption, which integrate seamlessly with the VM and storage
      management platforms.
   4. Regularly audit the encryption status of all VMs and storage volumes
      to ensure encryption is enabled.
   5. Store encryption keys securely using key management services like AWS
      KMS or Azure Key Vault to prevent unauthorized access.

References:

    * Microsoft Azure - Disk Encryption
      <https://learn.microsoft.com/en-us/azure/virtual-machines/windows/encrypt-disks>",Created by Rules Engine,Recommended,Not tested,High,N/A,Medium,Hugo Ponthieu,,ATT&CK Enterprise - M1041 - Encrypt Sensitive Information,Cloud Security,NIST 800-53 v5,SC-28 PROTECTION OF INFORMATION AT REST
VPN (Virtual Private Network),C-VPN-VIRTUAL-PRIVATE-NETWORK-CNT-05,Enable logging for VPN activity and monitor regularly to detect and respond to suspicious behavior,"Configure comprehensive logging for all VPN activity and establish 
processes to monitor logs regularly. This ensures that suspicious behavior 
can be promptly detected and addressed, enhancing the overall security 
posture of the VPN and the network.

Enable Comprehensive VPN Logging:

    * Configure the VPN server to log all activity, including user
      authentication, connection attempts, session durations, and data
      transfers.
    * Ensure logs capture sufficient detail, such as IP addresses,
      timestamps, and user identifiers, for effective analysis.

Centralize Log Management:

    * Forward VPN logs to a centralized logging solution or Security
      Information and Event Management (SIEM) system, such as Splunk,
      Elastic Stack, or AWS CloudWatch.
    * Enable log correlation with other network components to identify
      patterns indicative of threats.

Define Monitoring Processes:

    * Set up alerts for unusual VPN activity, such as multiple failed login
      attempts, connections from unusual locations, or abnormal session
      durations.
    * Assign responsibility to a security team or automated systems for
      continuous log review.

Analyze and Respond to Incidents:

    * Investigate alerts and anomalies promptly to determine the root cause
      and take appropriate action.
    * Implement automated responses, such as blocking suspicious IPs or
      disabling compromised accounts, to contain potential threats.

Retain Logs for Compliance and Forensics:

    * Store logs securely for a defined retention period to meet compliance
      requirements and support forensic investigations.
    * Use encryption to protect log data and restrict access to authorized
      personnel.

Regularly Audit Logging Configurations:

    * Periodically review and update logging settings to ensure all
      critical VPN events are captured.
    * Test monitoring tools and alert configurations to confirm they are
      functioning correctly.

By enabling and monitoring VPN logs, developers and DevOps engineers can 
proactively detect and respond to threats, ensuring the VPN remains secure 
and operational.

References:

    * NIST Guide to Security Log Management
      <https://csrc.nist.gov/publications/detail/sp/800-92/final>",Created by Rules Engine,Recommended,Not tested,High,N/A,Medium,Hugo Ponthieu,,ATT&CK Enterprise - M1047 - Audit,Network Security,NIST 800-53 v5,AU-12 Audit Record Generation
AWS S3 (Simple Storage Service),C-AWS-S3-CNT-09,Enable S3 versioning,"S3 Versioning is a means of keeping multiple variants of an object in the 
same bucket. You can use versioning to preserve, retrieve, and restore 
every version of every object stored in your bucket. With versioning, you 
can easily recover from both unintended user actions and application 
failures.

Also consider implementing ongoing detective controls by using the 
s3-bucket-versioning-enabled
<https://docs.aws.amazon.com/config/latest/developerguide/s3-bucket-versioning-enabled.html> 
managed AWS Config rule.

For more information, see Using versioning in S3 buckets
<https://docs.aws.amazon.com/AmazonS3/latest/userguide/Versioning.html> .",Created by Rules Engine,Recommended,Not tested,High,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1053 - Data Backup,Cloud Security,NIST 800-53 v5,CP-9 System Backup
AWS S3 (Simple Storage Service),C-AWS-S3-CNT-07,Enforce encryption of data in transit,"You can use HTTPS (TLS) to help prevent potential attackers from 
eavesdropping on or manipulating network traffic by using 
person-in-the-middle or similar attacks. We recommend allowing only 
encrypted connections over HTTPS (TLS) by using the aws:SecureTransport
<https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_policies_elements_condition_operators.html#Conditions_Boolean> 
condition in your Amazon S3 bucket policies.

Important

We recommend that your application not pin Amazon S3 TLS certificates as 
AWS doesn’t support pinning of publicly-trusted certificates. S3 
automatically renews certificates and renewal can happen any time before 
certificate expiry. Renewing a certificate generates a new public-private 
key pair. If you’ve pinned an S3 certificate which has been recently 
renewed with a new public key, you won’t be able to connect to S3 until 
your application uses the new certificate.

Also consider implementing ongoing detective controls by using the 
s3-bucket-ssl-requests-only
<https://docs.aws.amazon.com/config/latest/developerguide/s3-bucket-ssl-requests-only.html> 
managed AWS Config rule.",Created by Rules Engine,Recommended,Not tested,High,N/A,High,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1041 - Encrypt Sensitive Information,Data Security,NIST 800-53 v5,SC-8 TRANSMISSION CONFIDENTIALITY AND INTEGRITY
Backend,C-WEB-APPLICATION-SERVER-SIDE-CNT-02,"Enforce MFA, use secure cookies, and invalidate sessions","To enhance authentication security, enforce multi-factor authentication 
(MFA) for all users, particularly for accessing sensitive resources. Use 
secure cookies to store session information and ensure they are configured 
with proper flags (e.g., HttpOnly, Secure) to prevent unauthorized access. 
Additionally, implement session invalidation after logout or inactivity to 
minimize the risk of session hijacking or unauthorized access.

Implementation Steps:

   1. Enforce MFA: Configure MFA for all user accounts, requiring an
      additional verification step (e.g., SMS, authenticator app) beyond
      just username and password. This should be applied to all sensitive
      operations and accounts with high privileges.
   2. Use Secure Cookies: Set cookies with the Secure flag (to ensure they
      are only sent over HTTPS), HttpOnly flag (to prevent access via
      JavaScript), and SameSite flag (to restrict cross-site request
      behavior), ensuring session data is protected.
   3. Invalidate Sessions on Logout or Inactivity: Implement session
      expiration or timeouts for inactivity and invalidate user sessions
      upon logout to prevent session hijacking. Ensure that tokens are
      revoked immediately when no longer needed.
   4. Monitor Session Activity: Continuously monitor and review session
      activity to detect any unauthorized access attempts or suspicious
      session behavior.

References:

    * OWASP Authentication Cheat Sheet
      <https://cheatsheetseries.owasp.org/cheatsheets/Authentication_Cheat_Sheet.html>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1056 - Pre-compromise,Application Security,NIST 800-53 v5,IA-9 Service Identification and Authentication
Fronend,C-WEB-APPLICATION-SERVER-SIDE-CNT-02,"Enforce MFA, use secure cookies, and invalidate sessions","To enhance authentication security, enforce multi-factor authentication 
(MFA) for all users, particularly for accessing sensitive resources. Use 
secure cookies to store session information and ensure they are configured 
with proper flags (e.g., HttpOnly, Secure) to prevent unauthorized access. 
Additionally, implement session invalidation after logout or inactivity to 
minimize the risk of session hijacking or unauthorized access.

Implementation Steps:

   1. Enforce MFA: Configure MFA for all user accounts, requiring an
      additional verification step (e.g., SMS, authenticator app) beyond
      just username and password. This should be applied to all sensitive
      operations and accounts with high privileges.
   2. Use Secure Cookies: Set cookies with the Secure flag (to ensure they
      are only sent over HTTPS), HttpOnly flag (to prevent access via
      JavaScript), and SameSite flag (to restrict cross-site request
      behavior), ensuring session data is protected.
   3. Invalidate Sessions on Logout or Inactivity: Implement session
      expiration or timeouts for inactivity and invalidate user sessions
      upon logout to prevent session hijacking. Ensure that tokens are
      revoked immediately when no longer needed.
   4. Monitor Session Activity: Continuously monitor and review session
      activity to detect any unauthorized access attempts or suspicious
      session behavior.

References:

    * OWASP Authentication Cheat Sheet
      <https://cheatsheetseries.owasp.org/cheatsheets/Authentication_Cheat_Sheet.html>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1056 - Pre-compromise,Application Security,NIST 800-53 v5,IA-9 Service Identification and Authentication
Bare Metal Server,C-BARE-METAL-SERVER-CNT-02,Enforce physical security controls,"To ensure that bare metal servers are physically secure from unauthorized 
access, a robust set of measures should be implemented. Each step outlined 
below will guide the deployment of a comprehensive physical security system 
which significantly mitigates the risk of unauthorized access to your 
server infrastructure.

   1. Assess the Physical Environment: Begin by thoroughly evaluating the
      current physical security infrastructure. Identify potential
      vulnerabilities around entry points, windows, or areas that may be
      susceptible to unauthorized access.
   2. Install Biometric Access Systems: Deploy biometric access systems at
      all primary entry points. Biometric systems, such as fingerprint or
      retina scanners, ensure that only authorized personnel with
      registered biometrics can gain entry.
          o Investigate compatible biometric systems that integrate
            seamlessly with existing security infrastructure.
          o Set up a database to manage and store biometric data securely,
            adhering to applicable privacy regulations.
   3. Implement Secure Key Card Systems: Establish a secure key card entry
      system to further control access. This system should have an access
      control server to manage permissions and monitor entry attempts in
      real-time.
          o Issue individual key cards to authorized personnel only, with
            levels of access controlled as needed.
          o Regularly audit access logs to ensure compliance and security
            integrity.
   4. Set Up 24/7 Surveillance: Install surveillance cameras at strategic
      locations to ensure constant monitoring of entry points and sensitive
      areas within the facility.
          o Choose cameras with night vision and motion detection
            capabilities to enhance surveillance efficiency.
          o Ensure that footage is securely stored and only accessible to
            authorized security personnel.
   5. Regular Security Drills and Training: Conduct regular security drills
      to familiarize staff with security protocols. Training should include
      recognizing and reporting suspicious behavior, and how to respond to
      security breaches.

References

    * The Ultimate Guide to Physical Security
      <https://www.lenels2.com/en/news/insights/the-ultimate-guide-to-physical-security.html>",Created by Rules Engine,Recommended,Not tested,High,N/A,High,Hugo Ponthieu,,EMB3D - MID-031 - Physical Presence Validation,Physical Security,NIST 800-53 v5,PE-2 Physical Access Authorizations
Bare Metal Server,C-BARE-METAL-SERVER-CNT-02,Enforce physical security controls,"To ensure that bare metal servers are physically secure from unauthorized 
access, a robust set of measures should be implemented. Each step outlined 
below will guide the deployment of a comprehensive physical security system 
which significantly mitigates the risk of unauthorized access to your 
server infrastructure.

   1. Assess the Physical Environment: Begin by thoroughly evaluating the
      current physical security infrastructure. Identify potential
      vulnerabilities around entry points, windows, or areas that may be
      susceptible to unauthorized access.
   2. Install Biometric Access Systems: Deploy biometric access systems at
      all primary entry points. Biometric systems, such as fingerprint or
      retina scanners, ensure that only authorized personnel with
      registered biometrics can gain entry.
          o Investigate compatible biometric systems that integrate
            seamlessly with existing security infrastructure.
          o Set up a database to manage and store biometric data securely,
            adhering to applicable privacy regulations.
   3. Implement Secure Key Card Systems: Establish a secure key card entry
      system to further control access. This system should have an access
      control server to manage permissions and monitor entry attempts in
      real-time.
          o Issue individual key cards to authorized personnel only, with
            levels of access controlled as needed.
          o Regularly audit access logs to ensure compliance and security
            integrity.
   4. Set Up 24/7 Surveillance: Install surveillance cameras at strategic
      locations to ensure constant monitoring of entry points and sensitive
      areas within the facility.
          o Choose cameras with night vision and motion detection
            capabilities to enhance surveillance efficiency.
          o Ensure that footage is securely stored and only accessible to
            authorized security personnel.
   5. Regular Security Drills and Training: Conduct regular security drills
      to familiarize staff with security protocols. Training should include
      recognizing and reporting suspicious behavior, and how to respond to
      security breaches.

References

    * The Ultimate Guide to Physical Security
      <https://www.lenels2.com/en/news/insights/the-ultimate-guide-to-physical-security.html>",Created by Rules Engine,Recommended,Not tested,High,N/A,High,Hugo Ponthieu,,EMB3D - MID-031 - Physical Presence Validation,Physical Security,NIST 800-53 v5,PE-2 Physical Access Authorizations
Kubernetes Namespace,C-KUBERNETES-NAMESPACE-02,Enforce Resource Quotas and Limits within Namespaces,"Set resource quotas and limits within each namespace to prevent any single 
user or application from consuming excessive resources.

1. Define resource quotas for CPU, memory, and storage for each namespace.

2. Enforce limits on the number of objects (e.g., pods, services) that can 
be created within a namespace.

3. Implement monitoring to alert on namespace resource usage approaching 
defined limits.

4. Regularly review and adjust quotas based on usage patterns and 
organizational needs.",Created by Rules Engine,Recommended,Not tested,High,N/A,High,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1052 - User Account Control,Cloud Security,NIST 800-53 v5,AC-6 LEAST PRIVILEGE
PostgreSQL,C-POSTGRESQL-CNT-POSTGRES-06,Enforce secure file permissions on PostgreSQL database files,"Implement and regularly update strict file system permissions for 
PostgreSQL database files to ensure that only authorized users and 
processes can access or modify them. This control minimizes the risk of 
unauthorized data tampering and exposure by using OS-level security 
settings (such as chmod/chown on Linux) to restrict access to sensitive 
files. Developers and DevOps engineers should integrate these practices 
into their deployment procedures, using centralized configuration 
management tools to enforce and monitor secure file permissions across all 
database servers.

References:

    * OWASP Secure Coding Practices - Access Control
      <https://owasp.org/www-project-secure-coding-practices-quick-reference-guide/stable-en/02-checklist/05-checklist>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1022 - Restrict File and Directory Permissions,Data Security,NIST 800-53 v5,PT-2 Authority to Process Personally Identifiable Information
Virtual Machine,C-VIRTUAL-MACHINE-CNT-05,Enforce strict access controls and multi-factor authentication for VM migration and cloning,"To prevent unauthorized migration or cloning of virtual machines, enforce 
strict access controls and require multi-factor authentication (MFA) for 
all VM migration and cloning operations. Unauthorized cloning or migration 
of VMs can lead to data theft, service disruptions, or privilege 
escalation. Implement role-based access control (RBAC) to ensure only 
authorized administrators can perform these actions.

Steps to Implement:

   1. Configure RBAC to restrict VM migration and cloning permissions to a
      limited set of trusted administrators.
   2. Require MFA for all privileged actions related to VM migration or
      cloning to prevent unauthorized access.
   3. Enable logging and monitoring to track all VM migration and cloning
      activities.
   4. Implement approval workflows for any VM migration requests to prevent
      accidental or malicious actions.
   5. Regularly audit access policies and logs to detect and mitigate
      potential threats.

References:

    * VMware vSphere - Securing Virtual Machines
      <https://docs.vmware.com/en/VMware-vSphere/7.0/com.vmware.vsphere.security.doc/GUID-60025A18-8FCF-42D4-8E7A-BB6E14708787.html>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,High,Hugo Ponthieu,,ATT&CK Enterprise - M1026 - Privileged Account Management,Network Security,NIST 800-53 v5,IA-2 Identification and Authentication (organizational Users)
VPN (Virtual Private Network),C-VPN-VIRTUAL-PRIVATE-NETWORK-CNT-01,Enforce the use of the latest secure TLS versions for VPN traffic encryption,"Ensure the VPN is configured to use the latest secure versions of Transport 
Layer Security (TLS), such as TLS 1.2 or TLS 1.3, to encrypt data traffic. 
This minimizes vulnerabilities, protects against eavesdropping, and ensures 
compliance with modern security standards. Follow these implementation 
steps:

Verify Supported TLS Versions:

    * Check the VPN software or appliance documentation to ensure it
      supports TLS 1.2 and TLS 1.3.
    * Disable older, insecure versions such as TLS 1.0 and TLS 1.1, which
      are susceptible to attacks like POODLE and BEAST.

Configure Encryption Settings:

    * Update the VPN server and client configurations to enforce the use of
      TLS 1.2 or higher for all encrypted communications.
    * Specify strong cipher suites, such as AES-GCM with a 256-bit key,
      while avoiding deprecated algorithms like RC4 or 3DES.

Test and Validate Configuration:

    * Use tools such as SSL Labs or OpenSSL to test the VPN's encryption
      setup and verify that only secure TLS versions and cipher suites are
      accepted.
    * Conduct regular vulnerability scans to identify and remediate any
      issues related to TLS settings.

Monitor and Maintain Security Standards:

    * Regularly review encryption settings to ensure they remain up to date
      with evolving standards.
    * Apply vendor patches and updates promptly to address potential
      vulnerabilities in TLS implementations.

By enforcing the use of secure TLS versions, developers and DevOps 
engineers can enhance the VPN’s resilience against attacks, protect 
sensitive data, and maintain the integrity of encrypted communications.

References:

    * TLS Best Practices with SSL/TLS <https://www.ssllabs.com/>",Created by Rules Engine,Recommended,Not tested,Very high,N/A,Medium,Hugo Ponthieu,,ATT&CK Enterprise - M1041 - Encrypt Sensitive Information,Network Security,NIST 800-53 v5,SC-8 TRANSMISSION CONFIDENTIALITY AND INTEGRITY
